tag,category,implications
anus_focus,108,anus
anus_only,108,anus
anvil_position,101,from_front_position legs_up
ape,5,haplorhine
apex_build_koraidon,5,koraidon
aphrodisiac,100,
apode,103,legless
apogee_(tinygaypirate),4,
apollo_(animal_crossing),4,animal_crossing
apology,101,
apple,100,fruit
apple_bloom_(mlp),4,friendship_is_magic
applejack_(mlp),4,friendship_is_magic
appliance,100,
april_fools'_day,3,holidays
april_o'neil,4,
apron,100,clothing
apron_only,108,apron
aquatic_dragon,5,dragon marine
aquilops,5,ceratopsian
arachnid,5,arthropod
arachnid_humanoid,5,arachnid arthropod_humanoid
arbok,5,pokemon_(species)
arcanine,5,pokemon_(species)
arceus,5,pokemon_(species)
arctic_fox,5,true_fox
arctic_wolf,5,wolf
areola,103,
areola_slip,108,areola
argonian,5,scalie the_elder_scrolls
arm_grab,103,grabbing
arm_hair,103,body_hair
arm_markings,103,markings
arm_pull,103,
arm_scar,103,scar
arm_support,103,
arm_tattoo,103,tattoo
arm_tuft,103,tuft
arm_under_breasts,103,breasts
arm_warmers,103,armwear
arm_wraps,103,wraps
armadillo,5,xenarthran
armband,100,
armbinder,100,binder_(restraint) bondage_gear
armchair,100,chair
armless,103,
armlet,100,
armor,100,
armpit_fetish,105,
armpit_hair,103,body_hair
armpit_lick,101,armpit_play licking
armpit_play,105,armpit_fetish
armpit_sniffing,105,sniffing
arms_above_head,103,
arms_tied,103,bound
armwear,100,clothing
armwear_only,100,armwear mostly_nude
arno_(peritian),4,
arrow_(weapon),100,ranged_weapon
arthropod,5,
arthropod_abdomen,103,
arthropod_abdomen_genitalia,103,animal_genitalia arthropod_abdomen
arthropod_humanoid,5,animal_humanoid arthropod
arthropod_taur,5,arthropod taur
arthropod_webbing,103,
artica_sparkle,4,
articuno,5,pokemon_(species)
artist_logo,7,logo
artist_name,7,text
asari,5,alien_humanoid
asgore_dreemurr,4,
ash_ketchum,4,
ashido_mina,4,
ashigara_(tas),4,
ashley_graham_(resident_evil),4,
asian_clothing,100,clothing
ask_blog,101,
asking,101,
asking_another,101,asking
asking_what,101,asking
asphyxiation,105,
asriel_dreemurr,4,
asriel_dreemurr_(god_form),4,
ass_clapping,103,bouncing_butt
ass_on_glass,103,butt on_glass
ass_to_ass,103,
ass_to_mouth,103,
ass_up,103,
assault_rifle,100,machine_gun rifle
assimilation,108,
assisted_exposure,105,
